_uuid,start,end,today,survey_round,group_identification/household_id,group_identification/enumerator_name,group_identification/survey_date,group_identification/sub_county,group_identification/ward,group_identification/household_head_sex,group_identification/landholding_acres,group_advisory/reached_advisory,group_advisory/advisory_channels,group_training/ffs_completed,group_training/practices_used,crop_sales/crop_name,crop_sales/area_planted_acres,crop_sales/quantity_harvested_kg,crop_sales/quantity_sold_kg,crop_sales/price_received_kes_per_kg,crop_sales/buyer_type,crop_sales/sold_through_group,group_resilience/coping_strategies_used,yield_kg_per_acre,crop_income_kes,price_share_pct
uuid-Baseline-53,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00054,J. Mwendwa,2026-06-21,mwingi_west,kwa_vonza,male,4.34,no,,no,organic_amendment,cowpeas,3.88,1109.9,894.3,277.55,local_trader,no,reduced_meals,290.0,34585.0,55.2
uuid-Baseline-54,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00055,S. Kamau,2026-06-13,mwingi_west,kwa_vonza,female,142.5,no,,no,,maize,0.61,223.4,100.6,113.14,local_trader,no,borrowed_food reduced_meals,368.2,10368.0,56.4
uuid-Baseline-55,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00056,P. Kioko,2026-06-14,kitui_south,kyome_thaana,female,3.4,no,,no,,cassava,2.31,877.1,388.2,155.86,market_vendor,no,none,417.6,42980.0,59.7
uuid-Baseline-56,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00057,A. Ndaka,2026-06-26,mwingi_west,kwa_vonza,female,1.52,no,,no,,pigeon_peas,1.33,379.6,262.7,117.64,producer_group,yes,reduced_meals borrowed_food sold_productive_asset,320.0,24333.0,70.4
uuid-Baseline-57,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00058,S. Kamau,2026-06-20,mwingi_west,waita,male,2.23,no,,no,intercropping min_tillage,pigeon_peas,0.66,248.6,113.8,147.26,local_trader,no,none,328.1,13217.0,62.5
uuid-Baseline-58,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00059,P. Kioko,2026-06-02,kitui_rural,township,female,0.73,no,,no,mulching organic_amendment,pigeon_peas,0.56,123.0,78.7,96.49,processor,no,reduced_meals sold_productive_asset borrowed_food,236.4,5911.0,61.7
uuid-Baseline-59,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00060,M. Wanjiru,2026-06-16,kitui_rural,township,male,2.59,no,,no,min_tillage,cowpeas,2.13,818.0,483.7,399.64,market_vendor,no,none,343.2,35966.0,57.6
uuid-Baseline-60,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00061,P. Kioko,2026-06-21,mwingi_west,waita,female,3.66,no,,no,intercropping water_harvesting,pigeon_peas,1.66,638.5,471.5,73.69,local_trader,no,reduced_meals,407.9,33601.0,59.9
uuid-Baseline-61,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00062,A. Ndaka,2026-06-06,mwingi_west,kwa_vonza,female,0.46,no,,no,,sorghum,0.34,127.7,114.9,115.96,market_vendor,no,none,350.8,9893.0,58.8
uuid-Baseline-62,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00063 ,P. Kioko,2026-06-04,mwingi_west,kwa_vonza,female,3.7,no,,no,,pigeon_peas,0.89,233.9,96.1,109.26,processor,no,reduced_meals,260.1,10041.0,59.2
uuid-Baseline-63,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00064,P. Kioko,2026-06-02,kitui_south,kyome_thaana,male,1.18,no,,no,min_tillage,pigeon_peas,0.27,75.3,39.9,84.07,market_vendor,no,none,287.3,2631.0,65.9
uuid-Baseline-64,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00065,S. Kamau,2026-06-22,mwingi_west,kwa_vonza,male,5.0,no,,no,mulching,pigeon_peas,0.23,105.2,74.0,91.4,market_vendor,no,sold_productive_asset,399.6,5958.0,54.5
uuid-Baseline-65,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00066,J. Mwendwa,2026-06-26,mwingi_west,waita,male,3.44,no,,no,drought_tolerant_seed staggered_planting,sorghum,0.89,199.9,132.3,124.45,processor,no,reduced_meals,247.0,12279.0,59.1
uuid-Baseline-66,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00067,P. Kioko,2026-06-01,mwingi_west,waita,male,3.05,no,,no,,sorghum,1.57,939.3,643.0,138.26,local_trader,no,none,542.0,91072.0,63.4
uuid-Baseline-67,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00068,A. Ndaka,2026-06-27,kitui_rural,mbitini,male,1.82,no,,no,,cowpeas,1.07,298.3,186.2,121.56,market_vendor,no,borrowed_food reduced_meals child_labour,322.4,15829.0,55.4
uuid-Baseline-68,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00069,M. Wanjiru,2026-06-04,kitui_rural,township,male,5.0,no,,no,,green_grams,1.35,559.0,435.1,121.63,local_trader,no,reduced_meals borrowed_food,389.6,38650.0,57.9
uuid-Baseline-69,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00070,S. Kamau,2026-06-13,mwingi_west,waita,male,1.43,no,,no,min_tillage intercropping,green_grams,0.38,164.5,146.7,125.3,processor,no,reduced_meals borrowed_food,414.7,13504.0,58.2
uuid-Baseline-70,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00071,J. Mwendwa,2026-06-15,kitui_rural,mbitini,female,0.88,no,,no,organic_amendment intercropping,green_grams,0.62,203.6,99.0,155.33,processor,no,child_labour sold_productive_asset borrowed_food,348.0,14687.0,59.1
uuid-Baseline-71,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00072,M. Wanjiru,2026-06-24,mwingi_west,kwa_vonza,female,1.21,no,,no,intercropping,pigeon_peas,0.87,337.9,287.5,114.32,market_vendor,no,sold_productive_asset,401.7,22824.0,55.0
uuid-Baseline-72,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00073,M. Wanjiru,2026-06-21,kitui_south,mutonguni,male,4.11,no,,no,,sorghum,0.34,135.5,118.8,121.04,local_trader,no,reduced_meals child_labour sold_productive_asset,444.3,10541.0,61.6
uuid-Baseline-73,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00074,S. Kamau,2026-06-26,kitui_rural,township,female,2.2,no,,no,,pigeon_peas,2.05,553.8,454.2,117.41,processor,no,none,287.6,41583.0,61.8
uuid-Baseline-74,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00075,S. Kamau,2026-06-25,kitui_rural,mbitini,female,1.97,no,,no,mulching,green_grams,1.17,324.3,135.3,94.66,producer_group,yes,sold_productive_asset,311.9,12686.0,69.3
uuid-Baseline-75,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00076,M. Wanjiru,2026-06-18,kitui_rural,mbitini,male,1.45,no,,no,,green_grams,0.88,280.7,246.9,112.44,market_vendor,no,sold_productive_asset child_labour,373.5,25649.0,57.2
uuid-Baseline-76,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00077,S. Kamau,2026-06-20,kitui_rural,township,male,1.89,no,,no,min_tillage mulching,sorghum,1.04,468.5,231.1,76.48,processor,no,none,419.2,13395.0,60.1
uuid-Baseline-77,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00078,P. Kioko,2026-06-12,mwingi_west,kwa_vonza,female,1.37,no,,no,drought_tolerant_seed organic_amendment,pigeon_peas,1.16,524.5,250.2,61.92,processor,no,child_labour borrowed_food reduced_meals,424.9,11166.0,57.1
uuid-Baseline-78,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00079,M. Wanjiru,2026-06-10,mwingi_west,kwa_vonza,female,3.25,no,,no,organic_amendment,cowpeas,1.67,502.9,210.8,152.7,market_vendor,no,child_labour sold_productive_asset borrowed_food,294.7,23886.0,58.8
uuid-Baseline-79,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00080,J. Mwendwa,2026-06-01,kitui_south,mutonguni,female,1.69,no,,no,drought_tolerant_seed,pigeon_peas,0.95,386.0,260.6,758.1,processor,no,child_labour,361.2,31158.0,66.3
uuid-Baseline-80,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00081,M. Wanjiru,2026-06-20,mwingi_west,kwa_vonza,female,1.23,no,,no,,cassava,0.72,243.7,100.4,110.68,local_trader,no,none,322.8,8425.0,60.1
uuid-Baseline-81,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00082,P. Kioko,2026-06-06,mwingi_west,waita,female,3.88,no,,no,,sorghum,2.84,1198.2,1000.7,119.69,processor,no,child_labour sold_productive_asset,420.3,108821.0,56.2
uuid-Baseline-82,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00083,S. Kamau,2026-06-13,kitui_south,kyome_thaana,male,0.9,no,,no,staggered_planting mulching,pigeon_peas,0.23,39.9,35.1,143.55,market_vendor,no,borrowed_food sold_productive_asset,182.7,3619.0,60.3
uuid-Baseline-83,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00084,J. Mwendwa,2026-06-04,kitui_rural,township,female,2.22,no,,no,min_tillage,cowpeas,0.8,233.0,172.8,141.68,processor,no,sold_productive_asset reduced_meals,317.9,17227.0,55.7
uuid-Baseline-84,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00085,J. Mwendwa,2026-06-04,kitui_rural,mbitini,male,0.31,no,,no,drought_tolerant_seed intercropping,cowpeas,0.3,76.6,44.4,743.2,local_trader,no,none,292.6,4682.0,56.2
uuid-Baseline-85,2026-06-01T08:00:00,2026-06-01T08:35:00,2026-06-01,Baseline,KDRSIP-00086,P. Kioko,2026-06-18,kitui_rural,mbitini,female,0.6,no,,no,,green_grams,0.6,168.9,104.7,142.73,local_trader,no,none,271.9,10690.0,56.7
